2026-09-01 10:00:10 LOGIN_SUCCESS user=admin ip=192.168.1.5
2026-09-01 10:01:15 LOGIN_FAILED user=admin ip=192.168.1.10
2026-09-01 10:01:16 LOGIN_FAILED user=admin ip=192.168.1.10
2026-09-01 10:01:17 LOGIN_FAILED user=admin ip=192.168.1.10
2026-09-01 10:01:18 LOGIN_FAILED user=admin ip=192.168.1.10
2026-09-01 10:01:19 LOGIN_FAILED user=admin ip=192.168.1.10
2026-09-01 10:02:20 SQL_QUERY user=test ip=192.168.1.12 query="DROP TABLE users"
2026-09-01 10:02:25 SQL_QUERY user=test ip=192.168.1.12 query="SELECT * FROM admin WHERE 1=1 OR 1=1"
2026-09-01 10:03:00 WEB_REQUEST user=unknown ip=10.0.0.5
2026-09-01 10:03:01 WEB_REQUEST user=unknown ip=10.0.0.5
2026-09-01 10:03:02 WEB_REQUEST user=unknown ip=10.0.0.22
2026-09-01 10:03:02 WEB_REQUEST user=unknown ip=10.0.0.22
2026-09-01 10:03:03 WEB_REQUEST user=unknown ip=10.0.0.22
2026-09-01 10:03:03 WEB_REQUEST user=unknown ip=10.0.0.22
2026-09-01 10:03:04 WEB_REQUEST user=unknown ip=10.0.0.22
2026-09-01 10:03:04 WEB_REQUEST user=unknown ip=10.0.0.22
2026-09-01 10:03:05 WEB_REQUEST user=unknown ip=10.0.0.22
2026-09-01 10:03:05 WEB_REQUEST user=unknown ip=10.0.0.22
2026-09-01 10:03:06 WEB_REQUEST user=unknown ip=10.0.0.22
2026-09-01 10:03:06 WEB_REQUEST user=unknown ip=10.0.0.22
2026-09-01 10:03:07 WEB_REQUEST user=unknown ip=10.0.0.22
